goalid,team,against,date,time_of_goal,location,home_away,scorer,Penalty (Y/N),price_of_scorer,assist,price_of_assister
1,Hull City,Leicester City,13/08/2016,30-45,KCOM Stadium,Home,A. Diomande,,1.7m,,
2,Leicester City,Hull City,13/08/2016,45-60,KCOM Stadium,Away,R. Mahrez,,0.2m,,
3,Hull City,Leicester City,13/08/2016,45-60,KCOM Stadium,Home,R. Snodgrass,,,,
4,Swansea City,Burnley,13/08/2016,45-60,Turf Moor,Away,L. Fer,,,,
5,WBA,Crystal Palace,13/08/2016,60-75,Selhurst Park,Away,S. Rondon,,,,
6,Everton,Tottenham,13/08/2016,0-15,Goodison Park,Home,R. Barkley,,,,
7,Spurs,Everton,13/08/2016,45-60,Goodison Park,Away,E. Lamela,,,,
8,Middlesbrough,Stoke City,13/08/2016,0-15,Riverside,Home,A. Negredo,,,,
9,Stoke City,Middlesbrough,13/08/2016,60-75,Riverside,Away,X. Shaqiri,,,,
10,Watford,Southampton,13/08/2016,0-15,St. Mary's,Away,E. Capoue,,,,
11,Southampton,Watford,13/08/2016,45-60,St. Mary's,Home,N. Redmond,,,,
12,Man City,Sunderland,13/08/2016,0-15,Etihad,Home,S. Aguero,,,,
13,Sunderland,Man City,13/08/2016,60-75,Etihad,Away,J. Defoe,,,,
14,Man City,Sunderland,13/08/2016,75-90,Etihad,Home,OG (P. McNair),,,,
15,Man United,Bournemouth,14/08/2016,30-45,Dean Court,Away,J. Mata,,,,
16,Man United,Bournemouth,14/08/2016,45-60,Dean Court,Away,W. Rooney,,,,
17,Man United,Bournemouth,14/08/2016,60-75,Dean Court,Away,Z. Ibrahimovic,,,,
18,Bournemouth,Man United,14/08/2016,60-75,Dean Court,Home,A. Smith,,,,
19,Arsenal,Liverpool,14/08/2016,30-45,Emirates,Home,T. Walcott,,,,
20,Liverpool,Arsenal,14/08/2016,30-45,Emirates,Away,P. Coutinho,,,,
21,Liverpool,Arsenal,14/08/2016,45-60,Emirates,Away,A. Lallana,,,,
22,Liverpool,Arsenal,14/08/2016,45-60,Emirates,Away,P. Coutinho,,,,
23,Liverpool,Arsenal,14/08/2016,60-75,Emirates,Away,S. Mane,,,,
24,Arsenal,Liverpool,14/08/2016,60-75,Emirates,Home,A. Oxlade-Chamberlain,,,,
25,Arsenal,Liverpool,14/08/2016,75-90,Emirates,Home,C. Chambers,,,,
26,Chelsea,West Ham,15/08/2016,45-60,Stamford Bridge,Home,E. Hazard,,,,
27,West Ham,Chelsea,15/08/2016,75-90,Stamford Bridge,Away,J. Collins,,,,
28,Chelsea,West Ham,15/08/2016,75-90,Stamford Bridge,Home,D. Costa,,,,
29,Man United,Southampton,19/08/2016,30-45,Old Trafford,Home,Z. Ibrahimovic,,,,
30,Man United,Southampton,19/08/2016,45-60,Old Trafford,Home,Z. Ibrahimovic,,,,
31,WBA,Everton,20/08/2016,0-15,The Hawthrons,Home,G. McAuley,,,,
32,Everton,WBA,20/08/2016,30-45,The Hawthrons,Away,K. Mirallas,,,,
33,Everton,WBA,20/08/2016,75-90,The Hawthrons,Away,G. Barry,,,,
34,Watford,Chelsea,20/08/2016,15-30,Vicarage Road,Home,E. Capoue,,,,
35,Chelsea,Watford,20/08/2016,75-90,Vicarage Road,Away,M. Batshuayi,,,,
36,Chelsea,Watford,20/08/2016,75-90,Vicarage Road,Away,D. Costa,,,,
37,Spurs,Crystal Palace,20/08/2016,75-90,White Hart Lane,Home,V. Wanyama,,,,
38,Hull City,Swansea City,20/08/2016,75-90,Liberty,Away,S. Maloney,,,`,
39,Swansea City,Hull City,20/08/2016,75-90,Liberty,Away,A. Hernandez,,,,
40,Burnley,Liverpool,20/08/2016,0-15,Turf Moor,Home,S. Vokes,,,,
41,Burnley,Liverpool,20/08/2016,30-45,Turf Moor,Home,A. Gray,,,,
42,Man City,Stoke City,20/08/2016,15-30,bet365 Stadium,Away,S. Aguero,,,,
43,Man City,Stoke City,20/08/2016,30-45,bet365 Stadium,Away,S. Aguero,,,,
44,Stoke City,Man City,20/08/2016,45-60,bet365 Stadium,Home,B. Krkic,,,,
45,Man City,Stoke City,20/08/2016,75-90,bet365 Stadium,Away,Nolito,,,,
46,Man City,Stoke City,20/08/2016,75-90,bet365 Stadium,Away,Nolito,,,,
47,Middlesbrough,Sunderland,21/08/2016,0-15,Stadium of Light,Away,C. Stuani,,,,
48,Middlesbrough,Sunderland,21/08/2016,30-45,Stadium of Light,Away,C. Stuani,,,,
49,Sunderland,Middlesbrough,21/08/2016,60-75,Stadium of Light,Home,P. Van Aanholt,,,,
50,West Ham,Bournemouth,21/08/2016,75-90,Olympic Stadium,Home,M. Antonio,,,,
51,Liverpool,Spurs,27/08/2016,30-45,White Hart Lane,Away,J. Milner,,,,
52,Spurs,Liverpool,27/08/2016,60-75,White Hart Lane,Home,D. Rose,,,,
53,Chelsea,Burnley,27/08/2016,0-15,Stamford Bridge,Home,E. Hazard,,,,
54,Chelsea,Burnley,27/08/2016,30-45,Stamford Bridge,Home,Willian,,,,
55,Chelsea,Burnley,27/08/2016,75-90,Stamford Bridge,Home,V. Moses,,,,
56,Bournemouth,Crystal Palace,27/08/2016,0-15,Selhurst Park,Away,J. King,,,,
